file_name,text_extract,supp_name,supp_vat,date,amount,currency
Aldi (10), 3221U2 ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel. : 044 419 04 1 18 CHF CHF Kürbiskernbrotli 0.65 A Country Beef 80g 4.99 A Marlboro Gold Box 8.49 B Zwischensumme 14.13 Attendant-Id: 14 ECR-Id: 3 ECR-Seq: 663 EFT Ref-No: 00019587 Buchung Maestro Contactless XXXXXXXXXXXXXXX9114 04.11.2020 16:45 Trm-Id: 31508543 Trx. Seq-Cnt: 00019587 Auth. Code: 112881 Acq-Id 00000000002 Total-EFT CHF: 14.10 Kopie Kunde ALDI PREIS 14.10 3 Artikel MAESTRO-CH CHF 14.10 A 02.5% Netto 5.50 MwSt 0.14 B 07.7% Netto 7.88 MwSt 0.61 *8344 801/025/003/014 04.11.20 16:45 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500 -,ALDI SUISSE AG,CHE-110.576.236,04.11.2020,14.1,CHF
Aldi (11), ALDI SUISSE AG 8952 Schlieren II ZH Goldschlagiplatz 3 Tel.: 044 730 44 24 CHF CHF 4 X 0.65 SCHOKOLADE HASELNUSS 100G 2.60 A CAPPUCCINO AROM. 400-500G 2.99 A CAPPUCCINO AROM. 400-500G 2.99 A Zwischensumme 8.58 Rundung -0.03 S E m m e 8.55 6 Artikel Bar CHF 8.55 A 02.5% Netto 8.37 MwSt 0.21 *1655 802/074/002/008 12.06.19 19:28 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-20:00 M3 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt ! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-.,ALDI SUISSE AG,CHE-110.576.236,12.06.2019,8.55,CHF
Aldi (12), ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel.: 044 419 04 18 CHF CHF TK Bio Garnelen 5.99 A Zwischensumme 5.99 ALDI PREIS 5.95 1 Artikel Bar CHF 5.95 A 02.5% Netto 5.84 MwSt 0.15 *6010 801/025/003/006 17.11.20 19:14 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-.,ALDI SUISSE AG,CHE-110.576.236,17.11.2020,5.95,CHF
Aldi (13), ALDI JUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel.: 044 419 04 18 CHF CHF Schweppes 6x11 17.94 A 12 x 1.79 Vitamin Well 0.51 21.48 A RED BULL 250ML 1.49 A Picco Belli 3.75 A Frühlingsrollen 3.89 A Pizza Margherita 0.85 A Bio Körnerbrötli 0.95 A RED BULL 250ML 1.49 A Zwischensumme 51.84 Attendant-Id: 15 ECR-Id: 1 ECR-Seq: 1077 EFT Ref-No: 00017596 Buchung Maestro Contactless XXXXXXXXXXXXXXX9114 20.11.2020 16:29 Trm-Id: 31508120 Trx. Seq-Cnt: 00017596 Auth. Code: 112899 Acq-Id 00000000002 Total-EFT CHF: 51.80 Kopie Kunde ALDI PREIS 51.80 19 Artikel MAESTRO-CH CHF 51.80 A 02.5% Netto 50.58 MwSt 1.26 *5524 801/025/001/015 20.11.20 16:29 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-,ALDI JUISSE AG,CHE-110.576.236,20.11.2020,51.8,CHF
Aldi (14), ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel. 044 419 04 18 CHF CHF EVIAN 6X1.5L PET 5.90 A TIN Glasreiniger 1.09 B Lasagneblätter 1.95 A Lasagneblätter 1.95 A Erdnusscreme 350g 2.99 A Nutella 200g 2.55 A Freil. Eier Imp.10 2.79 A Zwischensumme 19.22 ALDI PREIS 19.20 7 Artikel Bar CHF 19.20 A 02.5% Netto 17.69 MwSt 0.44 B 07.7% Netto 1.01 MwSt 0.08 *2973 801/025/002/017 12.10.20 15:28 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-,ALDI SUISSE AG,CHE-110.576.236,12.10.2020,19.2,CHF
Aldi (2)," ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel. : 044 419 04 1 18 CHF CHF Kopfsalat gr. 200g 2.95 A Rabatt 25.0% -0.74 A Kopfsalat gr. 200g 2.95 A Rabatt 25.0% -0.74 A Kidneybohnen 425ml 0.99 A Eier Bodenh. 10 2.19 A ÄPFEL GELB 1.80 A 0.622 kg X 2.89 CHF/kg of2900 Premium Orangen 0.75 A 0.328 kg X 2.29 CHF/kg Parm. Regg. geho. 2.99 A Huettenk.Nat. 1.79 A Poulet Minifilet 5.19 A Proteinbrot 250g 2.29 A Bio Datteln 2.49 A Mini Pack Mais 1.99 A Cherrytomaten 500g 1.99 A Karotten IP 0.40 A 0.222 kg X 1.79 CHF/kg Mozz. Bambini 125g 1.35 A Mozz. Bambini 125g 1.35 A Huettenk.Nat. 1.79 A Thomy Senf mild 1.69 A Zwischensumme 35.46 ALDI PREIS 35.45 18 Artikel 0dn1226 B a r CHF 35.45 A 02.5% Netto 34.60 MwSt 0.86 *5152 801/025/003/014 16.11.20 18:55 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500 - , 322102",ALDI SUISSE AG,CHE-110.576.236,16.11.2020,35.45,CHF
Aldi (3), ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel.: 044 419 04 18 CHF CHF Spinat 500g 2.99 A Pinienkerne 100g 3.99 A Country Beef 80g 4.99 A Huettenk. Nat. 1.79 A Auberginen 1.56 A 0.522 kg X 2.99 CHF/kg Coca-Cola Z.6x0.33 4.79 A Campignons 250g 1.99 A Campignons 250g 1.99 A Cherrytomaten 200g 2.49 A Marlboro Gold Box 8.49 B Zwischensumme 35.07 Kartenzahlung **** Abgewiesen **** Zw-Summe 35.07 ALDI PREIS 35.05 10 Artikel Bar CHF 35.05 A 02.5% Netto 25.93 MwSt 0.65 B 07.7% Netto 7.88 MwSt 0.61 *1723 801/025/001/017 09.11.20 17:11 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-. #,ALDI SUISSE AG,CHE-110.576.236,09.11.2020,35.05,CHF
Aldi (4), ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstrasse Tel : 044 419 04 18 CHF CHF *Marlboro Gold Box 8.49 B *Marlboro Gold Box 8.49 B Zwischensumme 16.98 Attendant-Id: 17 ECR-Id: 1 ECR-Seq: 366 EFT Ref-No: 00013223 Buchung Maestro Contactless XXXXXXXXXXXXXXX9114 28.10.2020 18:22 Trm-Id: 31508120 Trx. Seq-Cnt: 322112 00013223 Auth. Code: 112872 Acq-Id 00000000002 Total-EFT CHF: 16.95 Kopie Kunde ALDI PREIS 16.95 2 Artikel MAESTRO-CH CHF 16.95 B 07.7% Netto 15.77 MwSt 1.21 *7495 801/025/001/017 28.10.20 18:22 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.,ALDI SUISSE AG,CHE-110.576.236,28.10.2020,16.95,CHF
Aldi (5), ALDI SUISSE AG 8048 Altstetten ZH Flurstrasse/Hohlstras Tel.: 044 419 04 18 CHF CHF 0.99 A Salatgurken Stuck 3.49 B Sauvignon Blanc 2.49 A Cherrytomaten 200g 6.99 B Moscato d Asti 6.99 B Moscato d Asti 8.49 B *Marlboro Gold Box 29.44 Zwischensumme 17 Attendant-Id: 3 ECR-Id: 930 ECR-Seq: 00013488 EFT Ref-No: Buchung Maestro Contactless XXXXXXXXXXXXXXX9114 14.10.2020 19:54 Trm-Id: 31508543 Trx. Seq-Cnt: 00013488 Auth. Code: 112845 Acq-Id 00000000002 Total-EFT CHF: 29.40 Kopie Kunde ALDI PREIS 29.40 6 Artikel MAESTRO-CH CHF 29.40 A 02.5% Netto 3.40 MwSt 0.08 B 07.7% Netto 24.10 MwSt 1.86 *6932 801/025/003/017 14.10.20 19:55 CHE-110.576.236 MWST Unsere öffnungszeiter Mo-Sa: 07:30-21:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500. -,ALDI SUISSE AG,CHE-110.576.236,14.10.2020,29.4,CHF
Aldi (6), ALDI SUISSE AG 8952 Schlieren II 2H Goldschlägiplatz 3 Tel.: 044 730 44 24 CHF CHF Schokorollchen 1.49 A Geflügelsalami 1.99 A KÄSE SNACK 2.95 A KASESNACK 2.95 A Kosmetiktücher 21g 0.85 B Oliven entsteint 0.69 A Zwischensumme 10.92 Rundung 322182 -0.02 S IL.II im m e 10.90 6 Artikel Bar CHF 10.90 BTXIM A 02.5% Netto 9.82 MwSt 0.25 B 07 7% Netto 020.79 MwSt 0.06 *2016 802/0747001/014-26.10.19 15:20 CHE-110.576.236 MWST Unsere öffnungszeiten Mo-Sa: 07:30-20:00 VIELEN DANK FÜR IHREN EINKAUF Ihre Meinung ist gefragt! Bewerten Sie Ihr Einkaufserlebnis unter meinemeinung.aldi-suisse.ch und gewinnen Sie einen Gutschein im Wert von CHF 500.-.,ALDI SUISSE AG,CHE-110.576.236,26.10.2019,10.9,CHF
